,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,Genre,Theme,Demographic,Spanish,German,French
0,2021,fall,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,https://cdn.myanimelist.net/images/anime/1028/117777.jpg,無職転生 ～異世界行ったら本気だす～ 第2クール,Mushoku Tensei,TV,12,Finished Airing,"Oct 4, 2021 to Dec 20, 2021",Fall 2021,Mondays at 00,"Frontier Works,       TOHO,       TOHO animation,       Tokyo MX,       Hakuhodo DY Music & Pictures,       BS11,       Egg Firm,       Kadokawa,       GREE Entertainment",Funimation,Studio Bind,Light novel,"AdventureAdventure,         DramaDrama,         FantasyFantasy,         EcchiEcchi","IsekaiIsekai,         ReincarnationReincarnation",23 min. per ep.,R - 17+ (violence & profanity),"8.641 (scored by 636950636,950 users)
      


1
          indicates a weighted score.","#802

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#165,"1,016,877","18,964",,,,,,,
1,2021,fall,"Komi-san wa, Comyushou desu.",Komi Can't Communicate,https://cdn.myanimelist.net/images/anime/1899/117237.jpg,古見さんは、コミュ症です。,Komi Can't Communicate,TV,12,Finished Airing,"Oct 7, 2021 to Dec 23, 2021",Fall 2021,Thursdays at 00,"TV Tokyo,       Dentsu,       Shogakukan-Shueisha Productions,       Half H.P Studio,       Nippon Columbia","None found, add some",OLM,Manga,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.831 (scored by 500668500,668 users)
      


1
          indicates a weighted score.","#9722

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#191,"945,170","12,198","Komi-san wa, Communication Shougai desu.",ComedyComedy,SchoolSchool,ShounenShounen,,,
2,2021,fall,Kimetsu no Yaiba: Mugen Ressha-hen,Demon Slayer: Kimetsu no Yaiba Mugen Train Arc,https://cdn.myanimelist.net/images/anime/1065/118763.jpg,鬼滅の刃 無限列車編,Demon Slayer,TV,7,Finished Airing,"Oct 10, 2021 to Nov 28, 2021",Fall 2021,Sundays at 23,"Aniplex,       Shueisha","None found, add some",ufotable,Manga,"ActionAction,         SupernaturalSupernatural",,24 min. per ep.,R - 17+ (violence & profanity),"8.351 (scored by 514157514,157 users)
      


1
          indicates a weighted score.","#2372

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#228,"854,437","4,457",Kimetsu no Yaiba Movie,,HistoricalHistorical,ShounenShounen,,,
3,2021,fall,Ousama Ranking,Ranking of Kings,https://cdn.myanimelist.net/images/anime/1347/117616.jpg,王様ランキング,Ranking of Kings,TV,23,Finished Airing,"Oct 15, 2021 to Mar 25, 2022",Fall 2021,Fridays at 00,"Aniplex,       Dentsu,       Fuji TV,       Kadokawa,       Bandai Spirits",Funimation,Wit Studio,Web manga,"AdventureAdventure,         FantasyFantasy",,22 min. per ep.,PG-13 - Teens 13 or older,"8.501 (scored by 366943366,943 users)
      


1
          indicates a weighted score.","#1432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#314,"696,160","13,233",King Ranking,,,,,,
4,2021,fall,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,https://cdn.myanimelist.net/images/anime/1928/117620.jpg,世界最高の暗殺者、異世界貴族に転生する,The World's Finest Assassin Gets Reincarnated in Another World as an Aristocrat,TV,12,Finished Airing,"Oct 6, 2021 to Dec 22, 2021",Fall 2021,Wednesdays at 23,"Lantis,       Movic,       AT-X,       Glovision,       TV Aichi,       Crunchyroll,       Kadokawa Media House,       Kadokawa,       Bandai Namco Arts","None found, add some","SILVER LINK.,       Studio Palette",Light novel,"ActionAction,         DramaDrama,         FantasyFantasy,         MysteryMystery,         RomanceRomance","IsekaiIsekai,         ReincarnationReincarnation",23 min. per ep.,PG-13 - Teens 13 or older,"7.331 (scored by 320283320,283 users)
      


1
          indicates a weighted score.","#26562

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#396,"586,008","4,327","The world's best assassin, To reincarnate in a different world aristocrat, Ansatsu Kizoku",,,,,,
5,2021,fall,86 Part 2,86 Eighty-Six Part 2,https://cdn.myanimelist.net/images/anime/1321/117508.jpg,86―エイティシックス―,86 Eighty-Six Part 2,TV,12,Finished Airing,"Oct 3, 2021 to Mar 19, 2022",Fall 2021,Sundays at 00,"Aniplex,       Kadokawa,       Bandai Spirits","None found, add some",A-1 Pictures,Light novel,"ActionAction,         DramaDrama,         Sci-FiSci-Fi","MechaMecha,         MilitaryMilitary",23 min. per ep.,R - 17+ (violence & profanity),"8.711 (scored by 321749321,749 users)
      


1
          indicates a weighted score.","#582

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#423,"561,012","16,574",,,,,,,
6,2021,fall,Takt Op. Destiny,,https://cdn.myanimelist.net/images/anime/1449/117797.jpg,takt op.Destiny,Takt Op. Destiny,TV,12,Finished Airing,"Oct 6, 2021 to Dec 22, 2021",Fall 2021,Wednesdays at 00,"DeNA,       Bandai Namco Arts","None found, add some","Madhouse,       MAPPA",Mixed media,"ActionAction,         FantasyFantasy,         Sci-FiSci-Fi","MusicMusic,         Urban FantasyUrban Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,"7.151 (scored by 224744224,744 users)
      


1
          indicates a weighted score.","#36082

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#436,"541,297","4,780",,,,,,,
7,2021,fall,Mieruko-chan,,https://cdn.myanimelist.net/images/anime/1277/117155.jpg,見える子ちゃん,,TV,12,Finished Airing,"Oct 3, 2021 to Dec 19, 2021",Fall 2021,Sundays at 22,"AT-X,       Magic Capsule,       Tokyo MX,       Docomo Anime Store,       Kadokawa Media House,       BS NTV,       Kadokawa",Funimation,Passione,Web manga,"ComedyComedy,         HorrorHorror",,23 min. per ep.,PG-13 - Teens 13 or older,"7.391 (scored by 240094240,094 users)
      


1
          indicates a weighted score.","#24102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#449,"525,596","3,379",,,SchoolSchool,,,,
8,2021,fall,Blue Period,,https://cdn.myanimelist.net/images/anime/1757/116931.jpg,ブルーピリオド,Blue Period,TV,12,Finished Airing,"Oct 2, 2021 to Dec 18, 2021",Fall 2021,Saturdays at 01,"Mainichi Broadcasting System,       Kodansha,       DMM pictures,       Bit grooove promotion,       DMM Music","None found, add some",Seven Arcs,Manga,,"SchoolSchool,         Visual ArtsVisual Arts",23 min. per ep.,PG-13 - Teens 13 or older,"7.801 (scored by 227962227,962 users)
      


1
          indicates a weighted score.","#10262

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#482,"495,562","6,421",,DramaDrama,,SeinenSeinen,Periodo Azul,,
9,2021,fall,Platinum End,,https://cdn.myanimelist.net/images/anime/1992/116576.jpg,プラチナエンド,Platinum End,TV,24,Finished Airing,"Oct 8, 2021 to Mar 25, 2022",Fall 2021,Fridays at 01,"Pierrot,       Dentsu,       Pony Canyon,       TBS,       Magic Capsule,       Medicos Entertainment,       BS11","None found, add some",Signal.MD,Manga,"DramaDrama,         SupernaturalSupernatural,         SuspenseSuspense","MythologyMythology,         PsychologicalPsychological,         SurvivalSurvival",24 min. per ep.,R - 17+ (violence & profanity),"6.031 (scored by 141517141,517 users)
      


1
          indicates a weighted score.","#98002

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#615,"402,105","2,557",,,,ShounenShounen,,,
10,2021,fall,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita","Banished From The Hero's Party, I Decided To Live A Quiet Life In The Countryside",https://cdn.myanimelist.net/images/anime/1723/117854.jpg,真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました,"Banished From The Hero's Party, I Decided To Live A Quiet Life In The Countryside",TV,13,Finished Airing,"Oct 6, 2021 to Dec 29, 2021",Fall 2021,Wednesdays at 22,"AT-X,       Nippon Columbia,       Kadokawa Media House,       BS NTV,       Kadokawa,       Kyoto Broadcasting System",Funimation,"Studio Flad,       Wolfsbane",Light novel,"FantasyFantasy,         RomanceRomance",,23 min. per ep.,PG-13 - Teens 13 or older,"6.931 (scored by 174143174,143 users)
      


1
          indicates a weighted score.","#46772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#704,"359,952","2,081","Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside, I Was Kicked out of the Hero's Party Because I Wasn't a True Companion so I Decided to Have a Slow Life at the Frontier",,,,,,
11,2021,fall,Senpai ga Uzai Kouhai no Hanashi,My Senpai is Annoying,https://cdn.myanimelist.net/images/anime/1055/118890.jpg,先輩がうざい後輩の話,My Senpai is Annoying,TV,12,Finished Airing,"Oct 10, 2021 to Dec 26, 2021",Fall 2021,Sundays at 01,"Movic,       KlockWorx,       King Records,       Ichijinsha,       DMM pictures",Funimation,Doga Kobo,Web manga,"ComedyComedy,         RomanceRomance","Adult CastAdult Cast,         Love Status QuoLove Status Quo,         WorkplaceWorkplace",23 min. per ep.,PG-13 - Teens 13 or older,"7.551 (scored by 164682164,682 users)
      


1
          indicates a weighted score.","#17802

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#718,"355,066","1,731",,,,,,,
12,2021,fall,Saihate no Paladin,The Faraway Paladin,https://cdn.myanimelist.net/images/anime/1176/118382.jpg,最果てのパラディン,The Faraway Paladin,TV,12,Finished Airing,"Oct 9, 2021 to Jan 3, 2022",Fall 2021,Saturdays at 22,"DAX Production,       Docomo Anime Store,       bilibili,       Overlap,       Good Smile Film","None found, add some",Children's Playground Entertainment,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy","IsekaiIsekai,         ReincarnationReincarnation",23 min. per ep.,PG-13 - Teens 13 or older,"6.871 (scored by 150859150,859 users)
      


1
          indicates a weighted score.","#50042

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#781,"330,263","1,456","Paladin of the End, Ultimate Paladin",,,,,,
13,2021,fall,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei,"The Fruit of Evolution: Before I Knew It, My Life Had It Made",https://cdn.myanimelist.net/images/anime/1537/117590.jpg,進化の実～知らないうちに勝ち組人生～,The Fruit of Evolution,TV,12,Finished Airing,"Oct 5, 2021 to Dec 21, 2021",Fall 2021,Tuesdays at 02,"feel.,       Glovision,       Children's Playground Entertainment","None found, add some",Hotline,Light novel,"AdventureAdventure,         FantasyFantasy,         RomanceRomance","HaremHarem,         IsekaiIsekai",23 min. per ep.,PG-13 - Teens 13 or older,"6.171 (scored by 108735108,735 users)
      


1
          indicates a weighted score.","#90122

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1160,"224,495","1,003",The Evolution Fruit,,,,The Fruit of Evolution,The Fruit of Evolution,The Fruit of Evolution
